BULKLOAD Testcases/TC_5/sortedData_2_10_100000.txt 100000
INSERT 1292920715 370019475
INSERT 1084291225 1859981842
INSERT 1224857938 241269099
INSERT 137753584 2114717912
INSERT 190343211 1039930018
INSERT 998308238 1474299734
INSERT 511748486 220277049
INSERT 2078905201 1745448539
INSERT 1574050656 127598835
INSERT 746954267 1913639448
INSERT 1974784140 1788167932
INSERT 487740463 525954888
INSERT 928465127 928791763
INSERT 165774170 822480770
INSERT 891260826 976646500
INSERT 198617874 36697893
INSERT 1346665975 1282909100
INSERT 1896679735 424040265
INSERT 1524178199 2034433320
INSERT 391274529 1714521410
INSERT 926879690 1389582767
INSERT 1041337497 1438628176
INSERT 1609859816 972759050
INSERT 1036593068 1036426824
INSERT 1100357886 1783547335
INSERT 802582624 927658378
INSERT 1424231619 1290323088
INSERT 1453613266 205213098
INSERT 71631203 1619387436
INSERT 1027693869 962892029
INSERT 448550288 1226311743
INSERT 999589923 1795216263
INSERT 361737195 748786010
INSERT 71772880 1885915395
INSERT 635735682 463047409
INSERT 1452953157 1562615373
INSERT 1852630176 346807006
INSERT 853759901 1315006345
INSERT 1319566057 1890352969
INSERT 203949521 272440295
INSERT 1526416656 1006532146
INSERT 1200098673 803164628
INSERT 149371586 506228292
INSERT 1008377726 221002789
INSERT 2125615728 2036071595
INSERT 1183894818 426682369
INSERT 1114899691 36001093
INSERT 74414984 1476636886
INSERT 784787104 146187865
INSERT 1215068633 1420522786
INSERT 609235274 520538143
INSERT 835654511 314381803
INSERT 867345149 1689414413
INSERT 1629388148 39427558
INSERT 1432283734 1833337669
INSERT 311867853 811216743
INSERT 692386167 1511966527
INSERT 1614381371 841757753
INSERT 2018194819 475275449
INSERT 1062760542 1996326899
INSERT 363863397 99171713
INSERT 275525620 1478763088
INSERT 135172806 349940605
INSERT 807916326 919959910
INSERT 496128470 2022984960
INSERT 192999049 1105363744
INSERT 396039455 1028653560
INSERT 1419745547 1263384604
INSERT 570584325 901650047
INSERT 1302812163 2002868060
INSERT 587504069 1614680016
INSERT 666601155 1279890236
INSERT 979162895 133498878
INSERT 2121647990 849874066
INSERT 608774327 1036924884
INSERT 698717318 972637724
INSERT 1136096597 974242938
INSERT 303917164 1271269404
INSERT 1324183543 1111833491
INSERT 43745666 1820312013
INSERT 987334803 236744715
INSERT 778192110 1383374258
INSERT 1265398276 50454009
INSERT 499275214 1835982601
INSERT 952104057 1802087377
INSERT 1691367013 1539608126
INSERT 1269283746 210484520
INSERT 672014714 100962993
INSERT 343983398 646179056
INSERT 950837060 952757726
INSERT 1683103941 1649554378
INSERT 1925395450 671716890
INSERT 476313668 81828967
INSERT 1942986294 1800497212
INSERT 1193662458 1986731961
INSERT 1473325577 33513613
INSERT 75993028 104034039
INSERT 1416887871 1341391304
INSERT 154488049 1916163085
INSERT 1029890258 1106592106
INSERT 1570766815 573773623
INSERT 498716584 692566913
INSERT 784258144 1170731298
INSERT 793529906 1128241542
INSERT 1816910355 1744366966
INSERT 2080999268 1352530648
INSERT 1246437696 1858911071
INSERT 2024247538 1722751365
INSERT 1940740038 1819750185
INSERT 1375764929 986918848
INSERT 1658998498 701606858
INSERT 1020432461 1734991526
INSERT 805640898 289836684
INSERT 928899183 960128947
INSERT 58516121 1958789441
INSERT 2066721053 1629282936
INSERT 385079416 417953989
INSERT 174366201 1169337560
INSERT 1588685287 967896108
INSERT 150095455 1258111994
INSERT 564779426 83611075
INSERT 463158994 1811217123
INSERT 1942522146 339922885
INSERT 1386484840 1735778536
INSERT 12189422 614766121
INSERT 575213736 1671187920
INSERT 1316372979 1595646197
INSERT 1258695798 2122013877
INSERT 1885482881 40111333
INSERT 934659176 1943999003
INSERT 1998900774 853896581
INSERT 1425798291 236496543
INSERT 1271850570 1600164493
INSERT 1405834103 713052210
INSERT 420576953 1555929558
INSERT 1971164204 985356379
INSERT 1639540634 286839551
INSERT 649089854 1434579132
INSERT 626762436 2035574694
INSERT 1022874021 638951858
INSERT 502857167 1598087757
INSERT 162656130 1819230147
INSERT 1046250307 1421351928
INSERT 1793760376 784249540
INSERT 1461463262 580935905
INSERT 580764895 1312880388
INSERT 1434832486 2006563187
INSERT 1549376931 559199409
INSERT 1459244032 807727387
INSERT 1272251619 1879820985
INSERT 216173297 1095932175
INSERT 717693716 1855713931
INSERT 1382771726 1366783571
INSERT 1142809416 2009534162
INSERT 1254874617 18199789
INSERT 501002372 1757731785
INSERT 1616287546 663658502
INSERT 1429478284 515054205
INSERT 2085010431 1075755012
INSERT 1299303746 1398990045
INSERT 1656690917 1880068641
INSERT 564386785 944039756
INSERT 1739148180 2113763717
INSERT 1503239165 1050908564
INSERT 774007456 628007136
INSERT 783245901 990180753
INSERT 1723939311 1500939618
INSERT 698411037 959227390
INSERT 720239541 1841220453
INSERT 821277904 1975114158
INSERT 1859420242 1322280277
INSERT 1585362295 1328224140
INSERT 1985938779 867356931
INSERT 1843278346 1923465562
INSERT 1943111944 995098444
INSERT 1174971959 1452319213
INSERT 727683437 1739358745
INSERT 248875321 319347970
INSERT 1705638814 1752114486
INSERT 1370256534 332162622
INSERT 232637974 6018788
INSERT 1322343375 1956577286
INSERT 1506958406 2020754412
INSERT 768321028 79714299
INSERT 1714491217 1589598932
INSERT 2054828457 1426427811
INSERT 764395561 1492707105
INSERT 607168304 602850693
INSERT 212580388 302963002
INSERT 378832607 8208684
INSERT 1298061446 1553804567
INSERT 1460527898 2025744883
INSERT 1145679664 1709403219
INSERT 197609205 703834830
INSERT 1314034058 1567865740
INSERT 1035997452 1546672032
INSERT 1573884528 210857179
INSERT 1355765670 933359286
INSERT 84127944 2124086698
INSERT 1013073585 1798619161
INSERT 1566201983 920418394
INSERT 1077563325 183113896
INSERT 265641851 1684731629
INSERT 785964589 478222240
INSERT 1987694631 1164797197
INSERT 486430924 1138272429
INSERT 571118116 1946958822
INSERT 1016533664 1716797780
INSERT 1508878394 1214142870
INSERT 273148962 675428804
INSERT 634524962 1309146414
INSERT 74617188 60925842
INSERT 1520003593 1430382859
INSERT 994285128 1604131537
INSERT 1406985909 2007358713
INSERT 1255267051 825704244
INSERT 780293459 185346728
INSERT 1008818141 1045935311
INSERT 1870078357 1794782730
INSERT 1524157551 1710289340
INSERT 812096279 2010588475
INSERT 701078121 1383214395
INSERT 1810063650 1717611785
INSERT 952528527 1171458396
INSERT 784271007 1225677489
INSERT 1846887200 1418795969
INSERT 387340255 1921504388
INSERT 1479721811 1907343849
INSERT 1204403599 326523291
INSERT 1363991738 463905861
INSERT 186398356 471775141
