BULKLOAD Testcases/TC_6/sortedData_2_10_100.txt 100
INSERT 1135901450 1153979173
INSERT 115279105 2008923158
INSERT 1635094088 521348057
INSERT 733445795 986144236
INSERT 2097897208 506950440
INSERT 922149491 247136149
INSERT 551890351 421790001
INSERT 927334101 136326409
INSERT 1189503767 542677126
INSERT 1102954665 1752258638
INSERT 1842578097 595949291
INSERT 759731559 968541716
INSERT 1186108769 1227097369
INSERT 680827830 876200258
INSERT 448563877 781898063
INSERT 137532607 1584465327
INSERT 1935877237 252811712
INSERT 1445904837 1423487677
INSERT 774159769 31866984
INSERT 262148265 724573329
INSERT 538817424 1184297757
INSERT 971709478 1090707776
INSERT 1606087758 1899043579
INSERT 1227034185 648107877
INSERT 294237058 182505202
INSERT 252882867 2136815155
INSERT 778454493 1012614426
INSERT 957873223 1964563262
INSERT 92228147 1638701053
INSERT 693279873 540792025
INSERT 273115469 830812480
INSERT 2125257352 61509058
INSERT 1083624192 1423678542
INSERT 1484996735 1857783961
INSERT 1455545526 1747145001
INSERT 434873642 1994362951
INSERT 783959110 1406583120
INSERT 937587079 242563220
INSERT 1158143051 17137616
INSERT 890671098 1452380109
INSERT 199642819 1143553965
INSERT 1441711617 978097312
INSERT 8684744 252101192
INSERT 795176927 100912891
INSERT 1890802246 1488456800
INSERT 641704916 16434067
INSERT 171785632 619478621
INSERT 77943125 1255409824
INSERT 2043157163 1562939860
INSERT 965710137 1351219041
INSERT 1162601213 1400583779
INSERT 1198098344 1946560323
INSERT 659683251 2135685423
INSERT 41639896 1817826302
INSERT 5339392 932310994
INSERT 1122722764 204982211
INSERT 2075864959 416950733
INSERT 1183079523 2084549703
INSERT 669051925 1978256450
INSERT 37978947 412370523
INSERT 1319229602 679683863
INSERT 428804590 1491015234
INSERT 1299162484 506747715
INSERT 598941410 1194835999
INSERT 2069687576 1564651547
INSERT 398571393 1084805141
INSERT 817751678 1596669737
INSERT 883881817 1477434929
INSERT 1584871513 925521713
INSERT 1147777584 1590210905
INSERT 1857832707 123016700
INSERT 1795193116 1786214018
INSERT 539967433 830788991
INSERT 1723280074 1209019358
INSERT 661561794 1761259021
INSERT 1621389882 1980791396
INSERT 293459236 2050194472
INSERT 1324322983 1592621721
INSERT 409458540 1923264393
INSERT 639974072 331662468
INSERT 1340432293 1038545465
INSERT 1416467609 10700323
INSERT 487731555 152865778
INSERT 1488135253 2072603068
INSERT 1078387491 488429189
INSERT 1515330325 788736550
INSERT 611445889 1163039793
INSERT 427466921 1151413322
INSERT 1993828784 3263347
INSERT 212949032 507906930
INSERT 1764522368 1834338914
INSERT 341214679 2057981604
INSERT 1737049739 1665537662
INSERT 1503119677 2146508279
INSERT 1441318407 2143093750
INSERT 330687099 634267052
INSERT 1034155567 1747154708
INSERT 644967376 1521887122
INSERT 1900020487 2133102629
INSERT 1447006542 830924330
QUERY 1304822190 1369895901
